type;iocs;Verions;Date;Reference
package;@tallyui/connector-shopify;ÿ1.0.1,ÿ1.0.2,ÿ1.0.3;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@tolka/cli;ÿ1.0.2,ÿ1.0.3,ÿ1.0.4,ÿ1.0.5,ÿ1.0.6;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@supersurkhet/sdk;ÿ0.0.2,ÿ0.0.3,ÿ0.0.4,ÿ0.0.5,ÿ0.0.6,ÿ0.0.7;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/access-policy-tool;ÿ0.3.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/context-grounding-tool;ÿ0.1.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/gov-tool;ÿ0.3.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/admin-tool;ÿ0.1.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/identity-tool;ÿ0.1.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/llmgw-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/resourcecatalog-tool;ÿ0.1.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/functions-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/access-policy-sdk;ÿ0.3.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@uipath/platform-tool;ÿ1.0.1;12/05/2026;https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package;@cap-js/sqlite@2.2.2;2.2.2;29/04/2026;https://www.stepsecurity.io/blog/a-mini-shai-hulud-has-appeared
package;@cap-js/postgres@v2.2.2;2.2.2;29/04/2026;https://www.stepsecurity.io/blog/a-mini-shai-hulud-has-appeared
package;@cap-js/db-service@v2.10.1;2.10.1;29/04/2026;https://www.stepsecurity.io/blog/a-mini-shai-hulud-has-appeared
package;mbt@1.2.48;1.2.48;29/04/2026;https://www.stepsecurity.io/blog/a-mini-shai-hulud-has-appeared
