Type,Artifacts,Package,Version,Date,Reference
package,@supersurkhet/sdk@0.0.2,@supersurkhet/sdk,0.0.2,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/access-policy-tool@0.3.1,@uipath/access-policy-tool,0.3.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/context-grounding-tool@0.1.1,@uipath/context-grounding-tool,0.1.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/gov-tool@0.3.1,@uipath/gov-tool,0.3.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/admin-tool@0.1.1,@uipath/admin-tool,0.1.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/identity-tool@0.1.1,@uipath/identity-tool,0.1.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/llmgw-tool@1.0.1,@uipath/llmgw-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/resourcecatalog-tool@0.1.1,@uipath/resourcecatalog-tool,0.1.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/functions-tool@1.0.1,@uipath/functions-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/access-policy-sdk@0.3.1,@uipath/access-policy-sdk,0.3.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
package,@uipath/platform-tool@1.0.1,@uipath/platform-tool,1.0.1,12/05/2026,https://www.aikido.dev/blog/mini-shai-hulud-is-back-tanstack-compromised
